,site,latitude,longitude
214,GH320A_B,55.84468262121775,-4.219997746293337
215,GH320A_A,55.84598315054711,-4.221637402893596
216,GE0551_S,55.89565126752435,-4.26383987505431
217,GK5131_A,55.81102674467461,-4.354190490672454
218,GJ2801_D,55.838485364499995,-4.256809901438772
219,GD1351_U,55.876522614189504,-4.328082034223077
220,GG272A_R,55.85167462114243,-4.169638716612222
221,GF2201_H,55.87399726525847,-4.1839602855011675
222,GG015A_A,55.8634944533064,-4.215941005830022
223,GA2651_R,55.86322343830514,-4.25754155933178
224,GA5751_S,55.86879885806673,-4.234720475861463
225,GD2701_B,55.89515227975689,-4.298039841472587
226,GB1301_T,55.849495854109286,-4.252351907449826
227,GB1301_R,55.84814297209657,-4.254574088234247
228,GA1301_A,55.856959063447256,-4.263905310495209
229,GG267A_A,55.85274381385316,-4.182863381641116
230,GI0601_R,0.0,0.0
231,GA5201_D,55.85887024114575,-4.241500914430377
232,GG0951_B,55.85842716676813,-4.12882070743387
233,GA4801_D,55.860510360530824,-4.249138189628752
234,GJ0151_H,55.8285222112477,-4.2462849807931216
235,GJ0151_D,55.82888844740375,-4.247391890352288
236,GA1951_V,0.0,0.0
237,GH3251_W,55.8449700529393,-4.218512581110471
238,GG0401_T,55.86483904043623,-4.196087912321555
239,GA1251_V,55.869979184831635,-4.261610092912863
240,GD0501_B,55.8805355663702,-4.297719400881514
241,GG268A_R,55.85196993798632,-4.174799670989969
242,GL1401_V,55.845203829793434,-4.332662427117573
243,GA0151_A,55.863143518141726,-4.27505281020752
244,GA5371_D,55.86349421279903,-4.236813004256239
245,GA4971_T,55.864269181865616,-4.2376886270108844
246,GC095A_V,55.86318970831961,-4.275471035740416
247,GA2301_E,55.86555526048061,-4.256829804869128
248,GJ0351_B,55.81909085486535,-4.248933992022725
249,GA0651_D,55.86200673183739,-4.266036861806618
259,GK0401_C,55.83433956934594,-4.27402467157517
260,GA1451_S,55.86678933266853,-4.2566776399380695
261,GF205A_T,55.86910271981327,-4.190334708816686
262,GA1361_B,55.86186371522894,-4.2601315018488615
263,GC1601_P,55.87125666762471,-4.298402020212851
264,GD2301_A,55.885613821988585,-4.282732194797251
265,GG3001_A,55.85160996262818,-4.166168207640782
266,GA2801_G,55.86536126095586,-4.256626759612004
267,GK0351_T,55.83798644490389,-4.268296297205533
268,GL1151_D,55.85061699273464,-4.311578020227955
269,GL1151_A,55.84965757101863,-4.311936424489083
270,GB0051_P,55.85418690885114,-4.268026138841512
271,GA2351_X,0.0,0.0
272,GA5451_W,55.86665543833556,-4.2339740005230775
273,GA5451_S,55.86517517190324,-4.235806875413443
274,GJ2601_P,55.835733311194,-4.254462478446834
275,GA4351_S,55.863046589354866,-4.248549662370607
276,GB0601_C,55.851911629039876,-4.2593138848684715
277,GE2291_S,55.88488864819818,-4.227650145493303
278,GA4751_C,55.85665407722729,-4.249666305715105
279,GA0301_W,55.867698205592745,-4.271754872355245
280,GA5371_F,55.86349363226202,-4.23684493422616
281,GA5701_S,55.85503143465414,-4.24107208254901
282,GH1051_C,55.85139570270908,-4.195489104259732
283,GA3221_B,55.854556227125435,-4.250855233139799
284,GH2701_G,55.83933982075649,-4.179029422594229
285,GH1021_R,55.85148049354853,-4.198289788630956
286,GA2301_C,55.86556277400538,-4.256910153802765
287,GD2451_A,55.89013117786499,-4.289202741229508
288,GB0251_S,55.85305107338908,-4.2613772169404545
289,GE1801_G,55.87490541091073,-4.232513573425408
290,GK4601_T,55.834462643446074,-4.361436144291249
291,GJ3201_V,55.82318935021541,-4.259707588022321
292,GC4051_D,55.859280521632435,-4.2836958962327385
293,GJ0351_D,55.82017210003487,-4.2502575464335575
294,GK0251_V,55.83880048026578,-4.267529161607213
295,GA1201_D,55.86931001052249,-4.2598768610287285
296,GH3451_N,55.84809372487405,-4.2097444589150586
