From_Node,To_Node,To_Link,From,To,hasEntryLink,FROM_EASTINGS,FROM_NORTHINGS,TO_EASTINGS,TO_NORTHINGS
GD2301,GD237A,S,GD2301,GD237A_S,False,257438.0,668044.0,257310.0,668192.0
GD255A,GD2451,A,GD255A,GD2451_A,False,256892.0,668752.0,257096.0,668449.0
GD237A,GD2451,B,GD237A,GD2451_B,False,257310.0,668192.0,257096.0,668449.0
GD2601,GD255A,R,GD2601,GD255A_R,False,256627.0,668932.0,256892.0,668752.0
GD2451,GD255A,S,GD2451,GD255A_S,False,257096.0,668449.0,256892.0,668752.0
GA1251,GA1201,D,GA1251,GA1201_D,False,258682.0,666368.0,258651.0,666192.0
GA1451,GA1201,B,GA1451,GA1201_B,False,258729.0,666097.0,258651.0,666192.0
GA1451,GA1201,H,GA1451,GA1201_H,False,258729.0,666097.0,258651.0,666192.0
GD2651,GD2601,A,GD2651,GD2601_A,False,256434.0,669155.0,256627.0,668932.0
GD255A,GD2601,B,GD255A,GD2601_B,False,256892.0,668752.0,256627.0,668932.0
GD2701,GD2651,R,GD2701,GD2651_R,False,256322.0,669437.0,256434.0,669155.0
