,site,eastings,northings,latitude,longitude
222,GC210U,254137,666906,55.873234736171675,-4.331593841232307
223,GC2151,253681,667301,55.87664300936254,-4.3390894074121205
224,GC217U,253553,667196,55.875661396495374,-4.341076971450375
225,GC220A,253362,667370,55.87716556381861,-4.344221570095974
226,GC220B,253351,667365,55.87711732469059,-4.3443945491487
227,GC225U,253171,667502,55.87829255634807,-4.347343646924436
228,GC227U,253545,667742,55.88056118238441,-4.341499915825029
229,GC2301,252982,667642,55.879491904933325,-4.3504383008292455
230,GC2331,253090,667971,55.88247872503289,-4.348891739129385
231,GC2351,252254,668051,55.882941369392796,-4.362289157119365
232,GC236U,251811,668438,55.886279900345635,-4.369577204524552
233,GC237A,251748,668340,55.88538065228256,-4.370529963945922
234,GC2381,251523,668519,55.88691846101195,-4.3742223716260735
235,GC2401,251351,668658,55.88811338640993,-4.377046396659573
236,GC2411,251267,668724,55.88868001808295,-4.378424599591895
237,GC242A,251060,668894,55.89014234626935,-4.381825103990786
238,GC250U,252375,668567,55.88761125254475,-4.360637666328916
239,GC255U,251653,669050,55.891725935223455,-4.372436591375114
240,GC4051,257142,665205,55.85886181520097,-4.282706425954816
241,GC4101,257165,665285,55.85958693353602,-4.282381370582783
242,GC4151,257191,665398,55.86060924055371,-4.282025784855171
243,GC420A,257681,664990,55.857090724164884,-4.273988654875993
244,GC4251,257794,664957,55.85682775310416,-4.27216742447434
245,GD005A,257948,666670,55.872253972230205,-4.270606461411041
246,GD0101,257771,666779,55.873180472187165,-4.273490395036838
247,GD0151,257572,666903,55.874235085127935,-4.276733709503963
248,GD017A,257511,666804,55.87332815134163,-4.277655880202349
249,GD019A,257426,666994,55.87500899142823,-4.279113350758938
250,GD0201,257309,667068,55.87563879804092,-4.281020957632087
251,GD025A,257119,667176,55.87655221642036,-4.2841124925731835
252,GD030A,257014,667246,55.8771495894797,-4.285826478569605
253,GD0351,256839,667343,55.87796857492941,-4.288672844957276
254,GD0451,256379,667644,55.88053429417298,-4.296179693768397
255,GD0501,256017,667882,55.882563185740814,-4.302088547137382
256,GD051U,255909,668395,55.88713694648899,-4.3040867273899135
257,GD052U,255958,668498,55.88807640057902,-4.303358704233369
258,GD053U,255846,668515,55.88819553530341,-4.30515710646607
259,GD0551,255616,668132,55.88468784512212,-4.308627430630799
260,GD0601,255144,668470,55.887580920603206,-4.316348379150576
261,GD0651,254930,668601,55.888692713830544,-4.319837434084957
262,GD0671,254839,668671,55.88929379780555,-4.321328822501599
263,GD070A,257621,666565,55.87121471425258,-4.275773546661933
264,GD072U,257395,666679,55.87217149273369,-4.279442687595648
265,GD075U,257293,666720,55.87250943625941,-4.281093226217755
266,GD0801,257857,666274,55.868671513364944,-4.271852067654838
267,GD0851,257177,666773,55.87295095478538,-4.28297370219169
268,GD087U,257066,666688,55.87215485454463,-4.28470157975824
269,GD088U,257110,666626,55.871611214954605,-4.283966208265786
