From_Node,To_Node,To_Link,From,To,hasEntryLink,FROM_EASTINGS,FROM_NORTHINGS,TO_EASTINGS,TO_NORTHINGS
GC1351,GC125A,E,GC1351,GC125A_E,FALSE,256836,666053,257025,665940
GC120A,GC125A,F,GC120A,GC125A_F,FALSE,257159,665862,257025,665940
GC1401,GC1301,R,GC1401,GC1301_R,FALSE,256728,666191,256873,666115
GC1351,GC1301,V,GC1351,GC1301_V,FALSE,256836,666053,256873,666115
GA1351,GA0561,B,GA1351,GA0561_B,FALSE,258482,665170,258300,665206
GC1301,GC1351,D,GC1301,GC1351_D,FALSE,256873,666115,256836,666053
GC1401,GC1351,A,GC1401,GC1351_A,FALSE,256728,666191,256836,666053
GC125A,GC1351,B,GC125A,GC1351_B,FALSE,257025,665940,256836,666053
GC1301,GC1401,G,GC1301,GC1401_G,FALSE,256873,666115,256728,666191
GC1351,GC1401,H,GC1351,GC1401_H,FALSE,256836,666053,256728,666191
GC152A,GC1401,E,GC152A,GC1401_E,FALSE,256588,666397,256728,666191
GC152A,GC1401,F,GC152A,GC1401_F,FALSE,256588,666397,256728,666191
GC155A,GC152A,C,GC155A,GC152A_C,FALSE,256453,666471,256588,666397
GC1401,GC152A,D,GC1401,GC152A_D,FALSE,256728,666191,256588,666397
GC1601,GC155A,A,GC1601,GC155A_A,FALSE,256211,666538,256453,666471
GC152A,GC155A,B,GC152A,GC155A_B,FALSE,256588,666397,256453,666471
GC155A,GC1601,S,GC155A,GC1601_S,FALSE,256453,666471,256211,666538
GC165A,GC1601,R,GC165A,GC1601_R,FALSE,256043,666582,256211,666538
GD0971,GC1601,P,GD0971,GC1601_P,FALSE,256374,666741,256211,666538
GC1631,GC1621,A,GC1631,GC1621_A,FALSE,255497,666391,255598,666413
GC1631,GC1621,F,GC1631,GC1621_F,FALSE,255497,666391,255598,666413
GC0321,GC1631,V,GC0321,GC1631_V,FALSE,255498,666274,255497,666391
GC0321,GC1631,X,GC0321,GC1631_X,FALSE,255498,666274,255497,666391
GC168A,GC165A,A,GC168A,GC165A_A,FALSE,255890,666586,256043,666582
GC1601,GC165A,B,GC1601,GC165A_B,FALSE,256211,666538,256043,666582
GC165A,GC168A,S,GC165A,GC168A_S,FALSE,256043,666582,255890,666586
GC1701,GC168A,R,GC1701,GC168A_R,FALSE,255612,666590,255890,666586
GC168A,GC1701,B,GC168A,GC1701_B,FALSE,255890,666586,255612,666590
GC1751,GC1701,A,GC1751,GC1701_A,FALSE,255391,666593,255612,666590
GA1051,GA0571,N,GA1051,GA0571_N,FALSE,258433,665365,258342,665385
GA0561,GA0571,V,GA0561,GA0571_V,FALSE,258300,665206,258342,665385
GC1701,GC1751,S,GC1701,GC1751_S,FALSE,255612,666590,255391,666593
